Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.45","177.00","1,085,815.00","192,189,255.00","192,189,255.00","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"AGN","ALLERGAN","Equity","0.43","191.17","967,022.00","184,865,595.74","184,865,595.74","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.43","64.19","2,848,131.00","182,821,528.89","182,821,528.89","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","0.42","128.21","1,392,646.00","178,551,143.66","178,551,143.66","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","0.41","502.70","349,443.00","175,664,996.10","175,664,996.10","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.41","51.12","3,431,184.00","175,402,126.08","175,402,126.08","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"MU","MICRON TECHNOLOGY INC","Equity","0.41","53.78","3,260,659.00","175,358,241.02","175,358,241.02","Information Technology","2588184","US5951121038","NASDAQ"
"CL","COLGATE-PALMOLIVE","Equity","0.40","68.84","2,478,334.00","170,608,512.56","170,608,512.56","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"PLD","PROLOGIS REIT INC","Equity","0.39","89.14","1,850,229.00","164,929,413.06","164,929,413.06","Real Estate","B44WZD7","US74340W1036","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.38","40.20","4,082,911.00","164,133,022.20","164,133,022.20","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.38","302.03","529,993.00","160,073,785.79","160,073,785.79","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"CI","CIGNA CORP","Equity","0.36","204.49","749,682.00","153,302,472.18","153,302,472.18","Health Care","BHJ0775","US1255231003","New York Stock Exchange Inc."
"PSX","PHILLIPS","Equity","0.35","111.41","1,322,222.00","147,308,753.02","147,308,753.02","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.34","83.76","1,711,869.00","143,386,147.44","143,386,147.44","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"DE","DEERE","Equity","0.34","173.26","825,965.00","143,106,695.90","143,106,695.90","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.33","102.91","1,378,631.00","141,874,916.21","141,874,916.21","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.33","49.91","2,827,176.00","141,104,354.16","141,104,354.16","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"DD","DUPONT DE NEMOURS INC","Equity","0.33","64.20","2,186,091.00","140,347,042.20","140,347,042.20","Materials","BK0VN47","US26614N1028","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.33","134.04","1,034,032.00","138,601,649.28","138,601,649.28","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.32","137.55","1,007,164.00","138,535,408.20","138,535,408.20","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"AEP","AMERICAN ELECTRIC POWER INC","Equity","0.32","94.51","1,457,555.00","137,753,523.05","137,753,523.05","Utilities","2026242","US0255371017","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.31","36.60","3,660,858.00","133,987,402.80","133,987,402.80","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.31","51.33","2,567,480.00","131,788,748.40","131,788,748.40","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.31","58.96","2,220,516.00","130,921,623.36","130,921,623.36","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"APD","AIR PRODUCTS AND CHEMICALS INC","Equity","0.31","234.99","556,983.00","130,885,435.17","130,885,435.17","Materials","2011602","US0091581068","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.31","45.59","2,861,112.00","130,438,096.08","130,438,096.08","Utilities","2670519","US30161N1019","NASDAQ"
"NSC","NORFOLK SOUTHERN CORP","Equity","0.30","194.13","666,203.00","129,329,988.39","129,329,988.39","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"SRE","SEMPRA ENERGY","Equity","0.30","151.48","830,902.00","125,865,034.96","125,865,034.96","Utilities","2138158","US8168511090","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.30","76.26","1,649,433.00","125,785,760.58","125,785,760.58","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.29","59.42","2,114,363.00","125,635,449.46","125,635,449.46","Communication","2575818","US00507V1098","NASDAQ"
"GD","GENERAL DYNAMICS CORP","Equity","0.29","176.35","701,626.00","123,731,745.10","123,731,745.10","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.29","324.87","375,386.00","121,951,649.82","121,951,649.82","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"KMI","KINDER MORGAN INC","Equity","0.29","21.17","5,755,405.00","121,841,923.85","121,841,923.85","Energy","B3NQ4P8","US49456B1017","New York Stock Exchange Inc."
"BK","BANK OF NEW YORK MELLON CORP","Equity","0.29","50.33","2,417,215.00","121,658,430.95","121,658,430.95","Financials","B1Z77F6","US0640581007","New York Stock Exchange Inc."
"DOW","DOW INC","Equity","0.28","54.73","2,209,384.00","120,919,586.32","120,919,586.32","Materials","BHXCF84","US2605571031","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.27","50.97","2,291,561.00","116,800,864.17","116,800,864.17","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"ETN","EATON PLC","Equity","0.27","94.72","1,215,977.00","115,177,341.44","115,177,341.44","Industrials","B8KQN82","IE00B8KQN827","New York Stock Exchange Inc."
"MPC","MARATHON PETROLEUM CORP","Equity","0.27","60.25","1,895,758.00","114,219,419.50","114,219,419.50","Energy","B3K3L40","US56585A1025","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","0.27","52.90","2,139,541.00","113,181,718.90","113,181,718.90","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"VLO","VALERO ENERGY CORP","Equity","0.27","93.65","1,207,844.00","113,114,590.60","113,114,590.60","Energy","2041364","US91913Y1001","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.26","93.74","1,196,504.00","112,160,284.96","112,160,284.96","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"ADI","ANALOG DEVICES INC","Equity","0.26","118.84","938,265.00","111,503,412.60","111,503,412.60","Information Technology","2032067","US0326541051","NASDAQ"
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.26","41.21","2,642,125.00","108,881,971.25","108,881,971.25","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.25","124.49","873,221.00","108,707,282.29","108,707,282.29","Financials","2026082","US0258161092","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.25","151.21","711,448.00","107,578,052.08","107,578,052.08","Industrials","2142784","US31428X1063","New York Stock Exchange Inc."
"F","FORD MOTOR CO","Equity","0.25","9.30","11,535,630.00","107,281,359.00","107,281,359.00","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","0.25","112.45","953,764.00","107,250,761.80","107,250,761.80","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"NEM","NEWMONT GOLDCORP CORP","Equity","0.25","43.45","2,411,800.00","104,792,710.00","104,792,710.00","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"BIIB","BIOGEN INC","Equity","0.24","296.73","348,940.00","103,540,966.20","103,540,966.20","Health Care","2455965","US09062X1037","NASDAQ"
"CSX","CSX CORP","Equity","0.24","72.36","1,406,271.00","101,757,769.56","101,757,769.56","Industrials","2160753","US1264081035","NASDAQ"
"XEL","XCEL ENERGY INC","Equity","0.23","63.49","1,543,714.00","98,010,401.86","98,010,401.86","Utilities","2614807","US98389B1008","NASDAQ"
"WELL","WELLTOWER INC","Equity","0.23","81.78","1,195,494.00","97,767,499.32","97,767,499.32","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.23","139.09","698,702.00","97,182,461.18","97,182,461.18","Information Technology","2769796","US31620M1062","New York Stock Exchange Inc."
"GIS","GENERAL MILLS INC","Equity","0.22","53.56","1,768,402.00","94,715,611.12","94,715,611.12","Consumer Staples","2367026","US3703341046","New York Stock Exchange Inc."
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Equity","0.22","40.71","2,290,800.00","93,258,468.00","93,258,468.00","Industrials","BY7QL61","IE00BY7QL619","New York Stock Exchange Inc."
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.22","62.02","1,497,658.00","92,884,749.16","92,884,749.16","Information Technology","2257019","US1924461023","NASDAQ"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Equity","0.21","149.68","605,230.00","90,590,826.40","90,590,826.40","Health Care","2783815","US98956P1021","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.21","485.08","186,548.00","90,490,703.84","90,490,703.84","Communication","BZ6VT82","US16119P1084","NASDAQ"
"PEP","PEPSICO INC","Equity","0.21","136.67","662,082.00","90,486,746.94","90,486,746.94","Consumer Staples","2681511","US7134481081","NASDAQ"
"ROP","ROPER TECHNOLOGIES INC","Equity","0.21","354.23","255,428.00","90,480,260.44","90,480,260.44","Industrials","2749602","US7766961061","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.21","92.55","974,116.00","90,154,435.80","90,154,435.80","Financials","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","0.21","90.47","982,183.00","88,858,096.01","88,858,096.01","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"STZ","CONSTELLATION BRANDS INC CLASS A","Equity","0.21","189.75","467,959.00","88,795,220.25","88,795,220.25","Consumer Staples","2170473","US21036P1084","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.21","59.05","1,489,560.00","87,958,518.00","87,958,518.00","Utilities","2707677","US7445731067","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.20","80.92","1,079,385.00","87,343,834.20","87,343,834.20","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"TRV","TRAVELERS COMPANIES INC","Equity","0.20","136.95","636,363.00","87,149,912.85","87,149,912.85","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.20","209.70","410,854.00","86,156,083.80","86,156,083.80","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"WEC","WEC ENERGY GROUP INC","Equity","0.20","92.23","931,078.00","85,873,323.94","85,873,323.94","Utilities","BYY8XK8","US92939U1060","New York Stock Exchange Inc."
"HPQ","HP INC","Equity","0.20","20.55","4,142,212.00","85,122,456.60","85,122,456.60","Information Technology","BYX4D52","US40434L1052","New York Stock Exchange Inc."
"WMB","WILLIAMS INC","Equity","0.20","23.72","3,582,407.00","84,974,694.04","84,974,694.04","Energy","2967181","US9694571004","New York Stock Exchange Inc."
"STT","STATE STREET CORP","Equity","0.20","79.10","1,070,047.00","84,640,717.70","84,640,717.70","Financials","2842040","US8574771031","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.20","72.39","1,158,764.00","83,882,925.96","83,882,925.96","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"HUM","HUMANA INC","Equity","0.19","366.52","222,470.00","81,539,704.40","81,539,704.40","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","0.19","85.07","956,384.00","81,359,586.88","81,359,586.88","Utilities","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"PCAR","PACCAR INC","Equity","0.19","79.10","1,001,326.00","79,204,886.60","79,204,886.60","Industrials","2665861","US6937181088","NASDAQ"
"DAL","DELTA AIR LINES INC","Equity","0.19","58.48","1,354,267.00","79,197,534.16","79,197,534.16","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"CMI","CUMMINS INC","Equity","0.18","178.96","440,213.00","78,780,518.48","78,780,518.48","Industrials","2240202","US2310211063","New York Stock Exchange Inc."
"EIX","EDISON INTERNATIONAL","Equity","0.18","75.41","1,033,954.00","77,970,471.14","77,970,471.14","Utilities","2829515","US2810201077","New York Stock Exchange Inc."
"USD","USD CASH","Cash","0.18","100.00","77,926,456.00","77,926,456.40","77,926,456.40","Cash and/or Derivatives","-","-","-"
"PH","PARKER-HANNIFIN CORP","Equity","0.18","205.82","377,899.00","77,779,172.18","77,779,172.18","Industrials","2671501","US7010941042","New York Stock Exchange Inc."
"TSN","TYSON FOODS INC CLASS A","Equity","0.18","91.04","849,736.00","77,359,965.44","77,359,965.44","Consumer Staples","2909730","US9024941034","New York Stock Exchange Inc."
"FE","FIRSTENERGY CORP","Equity","0.18","48.60","1,589,333.00","77,241,583.80","77,241,583.80","Utilities","2100920","US3379321074","New York Stock Exchange Inc."
"AMAT","APPLIED MATERIAL INC","Equity","0.18","61.04","1,260,070.00","76,914,672.80","76,914,672.80","Information Technology","2046552","US0382221051","NASDAQ"
"PPL","PPL CORP","Equity","0.18","35.88","2,135,249.00","76,612,734.12","76,612,734.12","Utilities","2680905","US69351T1060","New York Stock Exchange Inc."
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.18","201.94","378,766.00","76,488,006.04","76,488,006.04","Financials","BDB6Q21","IE00BDB6Q211","NASDAQ"
"ADM","ARCHER DANIELS MIDLAND","Equity","0.18","46.35","1,644,879.00","76,240,141.65","76,240,141.65","Consumer Staples","2047317","US0394831020","New York Stock Exchange Inc."
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Equity","0.17","94.48","785,608.00","74,224,243.84","74,224,243.84","Materials","B3SPXZ3","NL0009434992","New York Stock Exchange Inc."
"SWK","STANLEY BLACK & DECKER INC","Equity","0.17","165.74","447,381.00","74,148,926.94","74,148,926.94","Industrials","B3Q2FJ4","US8545021011","New York Stock Exchange Inc."
"UBER","UBER TECHNOLOGIES INC","Equity","0.17","29.74","2,490,255.00","74,060,183.70","74,060,183.70","Industrials","BK6N347","US90353T1007","New York Stock Exchange Inc."
"DLR","DIGITAL REALTY TRUST REIT INC","Equity","0.17","119.74","613,683.00","73,482,402.42","73,482,402.42","Real Estate","B03GQS4","US2538681030","New York Stock Exchange Inc."
"REGN","REGENERON PHARMACEUTICALS INC","Equity","0.17","375.48","191,876.00","72,045,600.48","72,045,600.48","Health Care","2730190","US75886F1075","NASDAQ"
"DTE","DTE ENERGY","Equity","0.17","129.87","545,113.00","70,793,825.31","70,793,825.31","Utilities","2280220","US2333311072","New York Stock Exchange Inc."
"A","AGILENT TECHNOLOGIES INC","Equity","0.17","85.31","828,265.00","70,659,287.15","70,659,287.15","Health Care","2520153","US00846U1016","New York Stock Exchange Inc."
"O","REALTY INCOME REIT CORP","Equity","0.17","73.63","958,924.00","70,605,574.12","70,605,574.12","Real Estate","2724193","US7561091049","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","0.16","119.80","586,839.00","70,303,312.20","70,303,312.20","Utilities","2317087","US29364G1031","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","0.16","219.74","314,391.00","69,084,278.34","69,084,278.34","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"MMM","3M","Equity","0.16","176.42","389,032.00","68,633,025.44","68,633,025.44","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"KR","KROGER","Equity","0.16","28.99","2,348,537.00","68,084,087.63","68,084,087.63","Consumer Staples","2497406","US5010441013","New York Stock Exchange Inc."
"RCL","ROYAL CARIBBEAN CRUISES LTD","Equity","0.16","133.51","505,490.00","67,487,969.90","67,487,969.90","Consumer Discretionary","2754907","LR0008862868","New York Stock Exchange Inc."
"APTV","APTIV PLC","Equity","0.16","94.97","709,557.00","67,386,628.29","67,386,628.29","Consumer Discretionary","B783TY6","JE00B783TY65","New York Stock Exchange Inc."
"WY","WEYERHAEUSER REIT","Equity","0.16","30.20","2,201,036.00","66,471,287.20","66,471,287.20","Real Estate","2958936","US9621661043","New York Stock Exchange Inc."
"MTB","M&T BANK CORP","Equity","0.15","169.75","387,933.00","65,851,626.75","65,851,626.75","Financials","2340168","US55261F1049","New York Stock Exchange Inc."
"AWK","AMERICAN WATER WORKS INC","Equity","0.15","122.85","533,799.00","65,577,207.15","65,577,207.15","Utilities","B2R3PV1","US0304201033","New York Stock Exchange Inc."
"CTVA","CORTEVA INC","Equity","0.15","29.56","2,211,907.00","65,383,970.92","65,383,970.92","Materials","BK73B42","US22052L1044","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.15","138.32","472,702.00","65,384,140.64","65,384,140.64","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"HIG","HARTFORD FINANCIAL SERVICES GROUP","Equity","0.15","60.77","1,061,775.00","64,524,066.75","64,524,066.75","Financials","2476193","US4165151048","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","0.15","47.56","1,356,457.00","64,513,094.92","64,513,094.92","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"LHX","L3HARRIS TECHNOLOGIES INC","Equity","0.15","197.87","324,599.00","64,228,404.13","64,228,404.13","Industrials","BK9DTN5","US5024311095","New York Stock Exchange Inc."
"FITB","FIFTH THIRD BANCORP","Equity","0.15","30.74","2,084,466.00","64,076,484.84","64,076,484.84","Financials","2336747","US3167731005","NASDAQ"
"VTR","VENTAS REIT INC","Equity","0.15","57.74","1,100,887.00","63,565,215.38","63,565,215.38","Real Estate","2927925","US92276F1003","New York Stock Exchange Inc."
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Money Market","0.15","1.00","63,396,196.00","63,396,196.23","63,396,196.23","Cash and/or Derivatives","-","US0669224778","-"
"BAX","BAXTER INTERNATIONAL INC","Equity","0.15","83.62","756,370.00","63,247,659.40","63,247,659.40","Health Care","2085102","US0718131099","New York Stock Exchange Inc."
"BXP","BOSTON PROPERTIES REIT INC","Equity","0.15","137.86","457,070.00","63,011,670.20","63,011,670.20","Real Estate","2019479","US1011211018","New York Stock Exchange Inc."
"HAL","HALLIBURTON","Equity","0.15","24.47","2,573,792.00","62,980,690.24","62,980,690.24","Energy","2405302","US4062161017","New York Stock Exchange Inc."
"PPG","PPG INDUSTRIES INC","Equity","0.15","133.49","470,940.00","62,865,780.60","62,865,780.60","Materials","2698470","US6935061076","New York Stock Exchange Inc."
"OKE","ONEOK INC","Equity","0.15","75.67","825,519.00","62,467,022.73","62,467,022.73","Energy","2130109","US6826801036","New York Stock Exchange Inc."
"NTRS","NORTHERN TRUST CORP","Equity","0.14","106.24","574,140.00","60,996,633.60","60,996,633.60","Financials","2648668","US6658591044","NASDAQ"
"HPE","HEWLETT PACKARD ENTERPRISE","Equity","0.14","15.86","3,844,331.00","60,971,089.66","60,971,089.66","Information Technology","BYVYWS0","US42824C1099","New York Stock Exchange Inc."
"CCL","CARNIVAL CORP","Equity","0.14","50.83","1,173,227.00","59,635,128.41","59,635,128.41","Consumer Discretionary","2523044","PA1436583006","New York Stock Exchange Inc."
"KHC","KRAFT HEINZ","Equity","0.14","32.13","1,846,500.00","59,328,045.00","59,328,045.00","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"KEY","KEYCORP","Equity","0.14","20.24","2,881,956.00","58,330,789.44","58,330,789.44","Financials","2490911","US4932671088","New York Stock Exchange Inc."
"TROW","T ROWE PRICE GROUP INC","Equity","0.14","121.84","477,046.00","58,123,284.64","58,123,284.64","Financials","2702337","US74144T1088","NASDAQ"
